,Risk,group
546,2.1543279719342037,1.0
547,3.7687395948864637,2.0
548,4.145101365032798,2.0
549,2.4647282111332727,1.0
550,4.383326596982994,2.0
551,1.7502974232842472,1.0
552,5.097101273582197,2.0
553,2.9155260724186918,1.0
554,3.2982509352684573,1.0
555,4.171558099571699,2.0
556,3.2094854304425047,1.0
557,1.8558356087409096,1.0
558,4.402387651978984,2.0
559,4.743944257038992,2.0
560,3.9593696871452435,2.0
561,4.513586114490082,2.0
562,3.0763355451082135,1.0
563,4.88396630559892,2.0
564,5.009470308047151,2.0
565,4.302890889482663,2.0
566,2.875052533041602,1.0
567,2.5369625105632605,1.0
568,2.109153699738029,1.0
569,2.9326848448975182,1.0
570,2.626199459312632,1.0
571,5.588577911113635,3.0
572,2.2983741757012712,1.0
573,4.7770585442038005,2.0
574,2.0098793278111735,1.0
575,3.6816767874783145,2.0
576,3.3485724246807385,1.0
577,3.9067058959029164,2.0
578,2.511888517252447,1.0
579,3.0308010233198943,1.0
580,3.0906383250682428,1.0
581,4.3500389039203755,2.0
582,2.3432968505072824,1.0
583,3.637086652725899,2.0
584,4.964726407347147,2.0
585,3.6185088516243504,2.0
586,2.749189701250426,1.0
587,2.936415162418162,1.0
588,3.2096678170205593,1.0
589,2.552906762062243,1.0
590,3.7615229238927816,2.0
591,2.950019282410489,1.0
592,3.54495362615063,2.0
593,3.046269893441479,1.0
594,4.142264245956815,2.0
595,2.1703640151983694,1.0
596,2.301328377960263,1.0
597,3.630577963756948,2.0
598,4.012296665532433,2.0
599,3.497755442022656,1.0
600,4.0778791891508,2.0
601,2.0252978817307263,1.0
602,2.981789546817103,1.0
603,3.2022435959324445,1.0
604,3.751055640670599,2.0
605,5.738087412560904,3.0
606,3.2546189641907155,1.0
607,4.334582777643738,2.0
608,3.087978103268746,1.0
609,4.970009146335957,2.0
610,3.888520911707449,2.0
611,2.090841252243887,1.0
612,3.7597322715046926,2.0
613,2.554036521048917,1.0
614,1.5506655571479653,1.0
615,3.1804356217091465,1.0
616,3.3276577017435987,1.0
617,3.4239974526202497,1.0
618,2.6729009603651805,1.0
619,2.8975693521092425,1.0
620,4.402343099007109,2.0
621,2.3622249795755557,1.0
622,2.9016623285703607,1.0
623,3.3479412378345463,1.0
624,4.68409510708116,2.0
625,5.017174122118861,2.0
626,4.536903874067979,2.0
627,2.653844664259246,1.0
628,4.9610721390600085,2.0
629,2.59956723425776,1.0
630,3.066677747080176,1.0
631,2.762234032605805,1.0
632,4.44269698674393,2.0
633,4.814325214868364,2.0
634,2.6855021500831646,1.0
635,2.4276626201387423,1.0
636,2.669777298733743,1.0
637,3.6491461907122225,2.0
638,4.462127310314269,2.0
639,1.560452717036991,1.0
640,4.01885939987431,2.0
641,3.548376510374078,2.0
642,3.7915046296565533,2.0
643,3.9402237296751035,2.0
644,5.382611566232509,3.0
645,4.2579721958619325,2.0
646,2.684841210343846,1.0
647,3.4755346812142522,1.0
648,2.7574281965493994,1.0
649,2.4711520635913296,1.0
650,4.523176552021443,2.0
651,4.1524010467880474,2.0
652,2.444718080231013,1.0
653,4.469711240672106,2.0
654,2.485820943279498,1.0
655,3.0167797071543183,1.0
656,3.35211540577268,1.0
657,3.1846834855945305,1.0
658,3.865782128043495,2.0
659,2.230874278102556,1.0
660,3.889804909535522,2.0
661,1.7394361870390675,1.0
662,4.077273213808499,2.0
663,1.7494932105542078,1.0
664,2.020139264100999,1.0
665,3.4512826110947876,1.0
666,2.2585296719242236,1.0
667,2.389730630806228,1.0
668,2.589840300184739,1.0
669,2.233026329418572,1.0
670,2.5957865641237885,1.0
671,3.0385138373932827,1.0
672,2.270064986403372,1.0
673,4.721906526470503,2.0
674,3.0485202889097986,1.0
675,2.5664197682874588,1.0
676,2.995094321364949,1.0
